0000F1	24	MAGNA COMPUTER CORPORATION
0000F2	24	SPIDER COMMUNICATIONS
0000F3	24	GANDALF DATA LIMITED
0000F4	24	Allied Telesis, Inc.
0000F5	24	DIAMOND SALES LIMITED
0000F6	24	APPLIED MICROSYSTEMS CORP.
0000F7	24	YOUTH KEEP ENTERPRISE CO LTD
0000F8	24	DIGITAL EQUIPMENT CORPORATION
0000F9	24	QUOTRON SYSTEMS INC.
0000FA	24	MICROSAGE COMPUTER SYSTEMS INC
0000FB	24	RECHNER ZUR KOMMUNIKATION
0000FC	24	MEIKO
0000FD	24	HIGH LEVEL HARDWARE
0000FE	24	Annapolis Micro Systems, Inc.
0000FF	24	CAMTEC ELECTRONICS LTD.
000100	24	EQUIP'TRANS
000101	24	Private
000102	24	3COM
000103	24	3COM
000104	24	DVICO Co., Ltd.
000105	24	Beckhoff Automation GmbH
000106	24	Tews Datentechnik GmbH
000107	24	Leiser GmbH
000108	24	AVLAB Technology, Inc.
000109	24	Nagano Japan Radio Co., Ltd.
00010A	24	CIS TECHNOLOGY INC.
00010B	24	Space CyberLink, Inc.
00010C	24	System Talks Inc.
00010D	24	Teledyne DALSA Inc.
00010E	24	Bri-Link Technologies Co., Ltd
00010F	24	Brocade Communications Systems LLC
000110	24	Gotham Networks
000111	24	iDigm Inc.
000112	24	Shark Multimedia Inc.
000113	24	OLYMPUS CORPORATION
000114	24	KANDA TSUSHIN KOGYO CO., LTD.
000115	24	EXTRATECH CORPORATION
000116	24	Netspect Technologies, Inc.
000117	24	Canal +
000118	24	EZ Digital Co., Ltd.
000119	24	RTUnet (Australia)
00011A	24	Hoffmann und Burmeister GbR
00011B	24	Unizone Technologies, Inc.
00011C	24	Universal Talkware Corporation
00011D	24	Centillium Communications
00011E	24	Precidia Technologies, Inc.
00011F	24	RC Networks, Inc.
000120	24	OSCILLOQUARTZ S.A.
000121	24	WatchGuard Technologies, Inc.
000122	24	Trend Communications, Ltd.
000123	24	Schneider Electric Japan Holdings Ltd.
000124	24	Acer Incorporated
000125	24	YAESU MUSEN CO., LTD.
000126	24	PAC Labs
000127	24	OPEN Networks Pty Ltd
000128	24	EnjoyWeb, Inc.
000129	24	DFI Inc.
00012A	24	Telematica Sistems Inteligente
00012B	24	TELENET Co., Ltd.
00012C	24	Aravox Technologies, Inc.
00012D	24	Komodo Technology
00012E	24	PC Partner Ltd.
00012F	24	Twinhead International Corp
000130	24	Extreme Networks Headquarters
000131	24	Bosch Security Systems, Inc.
000132	24	Dranetz - BMI
000133	24	KYOWA Electronic Instruments C
000134	24	Selectron Systems AG
000135	24	KDC Corp.
000136	24	CyberTAN Technology Inc.
000137	24	IT Farm Corporation
000138	24	XAVi Technologies Corp.
000139	24	Point Multimedia Systems
00013A	24	SHELCAD COMMUNICATIONS, LTD.
00013B	24	BNA SYSTEMS
00013C	24	TIW SYSTEMS
00013D	24	RiscStation Ltd.
00013E	24	Ascom Tateco AB
00013F	24	Neighbor World Co., Ltd.
000140	24	Sendtek Corporation
000141	24	CABLE PRINT
000142	24	Cisco Systems, Inc
000143	24	Cisco Systems, Inc
000144	24	Dell EMC
000145	24	WINSYSTEMS, INC.
000146	24	Tesco Controls, Inc.
000147	24	Zhone Technologies, Inc.
000148	24	X-traWeb Inc.
000149	24	TDT AG
00014A	24	Sony Corporation
00014B	24	Ennovate Networks, Inc.
00014C	24	Berkeley Process Control
00014D	24	Shin Kin Enterprises Co., Ltd
00014E	24	WIN Enterprises, Inc.
00014F	24	Adtran Inc
000150	24	GILAT COMMUNICATIONS, LTD.
000151	24	Ensemble Communications
000152	24	CHROMATEK INC.
000153	24	ARCHTEK TELECOM CORPORATION
000154	24	G3M Corporation
000155	24	Promise Technology, Inc.
000156	24	FIREWIREDIRECT.COM, INC.
000157	24	SYSWAVE CO., LTD
000158	24	Electro Industries/Gauge Tech
